#Ligand RMSD
complex_8w.pdb 0.000
complex_6w.pdb 0.523
complex_4w.pdb 0.535
complex_18w.pdb 0.543
complex_16w.pdb 0.523
complex_14w.pdb 0.530
complex_10w.pdb 0.567
complex_9w.pdb 0.531
complex_12w.pdb 0.547
complex_11w.pdb 0.509
complex_5w.pdb 0.562
complex_3w.pdb 0.540
complex_7w.pdb 0.572
complex_20w.pdb 0.553
complex_13w.pdb 0.555
complex_17w.pdb 0.526
complex_15w.pdb 0.532
complex_19w.pdb 0.554
complex_1w.pdb 0.569
complex_2w.pdb 0.527
