#Interface RMSD
complex_17w.pdb 0.000
complex_3w.pdb 0.509
complex_8w.pdb 0.515
complex_13w.pdb 0.498
complex_4w.pdb 0.543
complex_11w.pdb 0.510
complex_12w.pdb 0.641
complex_7w.pdb 0.594
complex_18w.pdb 0.472
complex_19w.pdb 0.497
complex_15w.pdb 0.537
complex_10w.pdb 0.479
complex_1w.pdb 0.426
complex_16w.pdb 0.549
complex_20w.pdb 0.550
complex_2w.pdb 0.580
complex_9w.pdb 0.415
complex_6w.pdb 0.468
complex_14w.pdb 0.511
complex_5w.pdb 0.497
